Provincia,Cantón,Hombres,Mujeres,Población,Superficie,Densidad
MANABI,PUERTO LOPEZ,10564,9887,20451,16626,1.23006134969325
MANABI,ROCAFUERTE,16922,16547,33469,280,119.532142857143
MANABI,SAN VICENTE,11264,10761,22025,718,30.6754874651811
MANABI,SANTA ANA,24093,23292,47385,1022,46.3649706457926
MANABI,SUCRE,28942,28217,57159,764,74.815445026178
MANABI,TOSAGUA,19527,18814,38341,377,101.700265251989
MORONA SANTIAGO,GUALAQUIZA,8697,8465,17162,2203,7.79028597367227
MORONA SANTIAGO,HUAMBOYA,4316,4150,8466,653,12.9647779479326
MORONA SANTIAGO,LIMON INDANZA,4812,4910,9722,2101,4.6273203236554
MORONA SANTIAGO,LOGROÑO,2873,2850,5723,1218,4.69868637110016
MORONA SANTIAGO,MORONA,20611,20544,41155,5095,8.0775269872424
MORONA SANTIAGO,PABLO VI,941,882,1823,1371,1.32968636032093
MORONA SANTIAGO,PALORA,3546,3390,6936,1436,4.83008356545961
MORONA SANTIAGO,SAN JUAN BOSCO,1975,1933,3908,1047,3.73256924546323
MORONA SANTIAGO,SANTIAGO,4859,4436,9295,1691,5.49674748669426
MORONA SANTIAGO,SUCUA,8972,9346,18318,893,20.5128779395297
MORNA SANTIAGO,TAISHA,9368,9069,18437,6090,3.02742200328407
MORONA SANTIAGO,TIWINTZA,3879,3116,6995,816,8.57230392156863
NAPO,ARCHIDONA,12633,12336,24969,3029,8.24331462528888
NAPO,CARLOS JULIO AROSEMENA,1934,1730,3664,501,7.31337325349301
NAPO,EL CHACO,4128,3832,7960,3473,2.29196659948172
NAPO,QUIJOS,3136,3088,6224,1577,3.94673430564363
NAPO,TENA,30943,29937,60880,3904,15.594262295082
PASTAZA,ARAJUNO,3402,3089,6491,8767,0.74039009923577
PASTAZA,MERA,6079,5782,11861,520,22.8096153846154
PASTAZA,PASTAZA,30923,31093,62016,19727,3.14371166421656
PASTAZA,SANTA CLARA,1856,1709,3565,311,11.4630225080386
PICHINCHA,CAYAMBE,41967,43828,85795,1189,72.1572750210261
PICHINCHA,MEJIA,39783,41552,81335,1476,55.1050135501355
PICHINCHA,PEDRO MONCAYO,16311,16861,33172,336,98.7261904761905
PICHINCHA,PEDRO VICENTE MALDONADO,6735,6189,12924,620,20.8451612903226
PICHINCHA,PUERTO QUITO,10774,9671,20445,683,29.9341142020498
PICHINCHA,QUITO,1088811,1150380,2239191,4183,535.307434855367
PICHINCHA,RUMIÑAHUI,41917,43935,85852,139,617.640287769784
PICHINCHA,SAN MIGUEL DE LOS BANCOS,9413,8160,17573,839,20.9451728247914
TUNGURAHUA,AMBATO,159830,170026,329856,1009,326.913776015857
TUNGURAHUA,BAÑOS,10034,9984,20018,1065,18.7962441314554
TUNGURAHUA,CEVALLOS,4028,4135,8163,19,429.631578947368
TUNGURAHUA,MOCHA,3356,3421,6777,86,78.8023255813954
TUNGURAHUA,PATATE,6720,6777,13497,315,42.8476190476191
TUNGURAHUA,QUERO,9489,9716,19205,173,111.011560693642
TUNGURAHUA,SAN PEDRO DE PELILEO,27327,29246,56573,202,280.064356435644
TUNGURAHUA,SANTIAGO DE PILLARO,18091,20266,38357,443,86.5846501128668
TUNGURAHUA,TISALEO,5908,6229,12137,59,205.71186440678
ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,3381,3098,6479,519,12.4836223506744
ZAMORA CHINCHIPE,CHINCHIPE,4933,4186,9119,1194,7.63735343383585
ZAMORA CHINCHIPE,EL PANGUI,4338,4281,8619,614,14.0374592833876
ZAMORA CHINCHIPE,NANGARITZA,2688,2508,5196,2096,2.47900763358779
ZAMORA CHINCHIPE,PALANDA,4246,3843,8089,1925,4.20207792207792
ZAMORA CHINCHIPE,PAQUISHA,2157,1697,3854,261,14.7662835249042
ZAMORA CHINCHIPE,YACUAMBI,2938,2897,5835,1242,4.69806763285024
ZAMORA CHINCHIPE,YANTZAZA,9456,9219,18675,990,18.8636363636364
ZAMORA CHINCHIPE,ZAMORA,13315,12195,25510,1876,13.5980810234542
GALAPAGOS,ISABELA,1202,1054,2256,5368,0.42026825633383
GALAPAGOS,SAN CRISTOBAL,3987,3488,7475,849,8.80447585394582
GALAPAGOS,SANTA CRUZ,7832,7561,15393,1794,8.58026755852843
SUCUMBIOS,CASCALES,5807,5297,11104,1248,8.8974358974359
SUCUMBIOS,CUYABENO,4032,3101,7133,3875,1.84077419354839
SUCUMBIOS,GONZALO PIZARRO,4523,4076,8599,2223,3.86819613135403
SUCUMBIOS,LAGO AGRIO,46966,44778,91744,3139,29.2271424020389
SUCUMBIOS,PUTUMAYO,5595,4579,10174,3559,2.85866816521495
SUCUMBIOS,SHUSHUFINDI,24155,20173,44.328,2463,0.017997563946407
SUCUMBIOS,SUCUMBIOS,1770,1620,3390,1502,2.25699067909454
ORELLANA,AGUARICO,2652,2195,4847,11358,0.426747666842754
ORELLANA,LA JOYA DE LOS SACHAS,19916,17675,37591,1195,31.4569037656904
ORELLANA,LORETO,11039,10124,21163,2127,9.94969440526563
ORELLANA,ORELLANA,38523,34272,72795,6995,10.4067190850608
SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,183058,184955,368013,3805,96.7182654402103
SANTA ELENA,LIBERTAD,48030,47912,95942,25,3837.68
SANTA ELENA,SALINAS,35436,33239,68675,69,995.289855072464
SANTA ELENA,SANTA ELENA,73396,70680,144076,3669,39.2684655219406
